Name,Gender,SSN,Member Date,Phone,State,Zip,Email,Credit Card,Credit Card_Number,Credit Card Exp,Gender,Favorite Radio Station,Purchases Past 30 Days,Spent Past 30 Days,Purchases Past 6 Months,Spent Past 6 Months,Purchases Past 12 Months,Spent Past 12 Months
Steve Bryan,male,544-48-7885,26/2/2012,(581) 372-8004,WV,61309,s.Bryan@ru.gov,American Express,3491xxxxxxx1481,02/17,male,WATT,2,$943.9000000000001,3,$2099.83,8,$6030.52
Dr. Adam Taylor,male,756-71-5516,Thu Aug 01 2013 12:03:34 GMT-0400 (Eastern Daylight Time),(754) 394-9958,Maryland,47279-3797,a.tayloraylor@jed.com,Diners Club United States & Canada,5454xxxxxxxx3035,03/24,male,WHQC,1,$299.69,2,$1269.94,4,$3253.6099999999997
Dr. Mason Warner,male,685-97-2592,Thu Jan 15 2015 18:27:28 GMT-0500 (Eastern Standard Time),7193934114,SC,14491,m.warnerarner@vin.net,Visa,4525xxxxxxxx7783,12/17,male,WENB,5,$3797.13,10,$10101.35,12,$15851.09
Miss Effie McBride,female,519-18-6381,20/10/2013,5783439312,C.A.,45311,e.mcbridecBride@ze.net,Diners Club United States & Canada,5423xxxxxxxx5443,04/25,female,KUYY,5,$2031.25,6,$5463.639999999999,10,$11522.880000000001
Dr. Marian Oliver,female,774-69-2230,Tue Jun 09 2009 07:57:25 GMT-0400 (Eastern Daylight Time),3893067428,FL,19849,m.oliverliver@oba.com,Visa,4625xxxxxxxx0105,06/22,female,WXCT,3,$1761.26,5,$5081.219999999999,11,$11918.49
Miss Blanche Frank,female,965-25-5537,Tue Aug 18 2015 10:56:06 GMT-0400 (Eastern Daylight Time),8666691755,North Carolina,74170-3501,b.frankrank@ada.com,Mastercard,5106xxxxxxxx3706,04/22,female,WIED,3,$1248.6699999999998,5,$3529.1699999999996,9,$7512.039999999999
Doctor Alex Reeves,male,015-80-0822,12/26/2014,(616) 972-4752,KS,67010-7309,a.reeveseeves@zoje.net,Discover Card,6011xxxxxxxx5088,01/23,male,KZSX,3,$1491.94,6,$3398.4500000000003,16,$13353.35
Miss Kate Glover,female,496-35-9080,Mon May 20 2013 09:50:06 GMT-0400 (Eastern Daylight Time),6848521598,D.C.,71516-9555,k.gloverlover@si.net,Mastercard,5107xxxxxxxx0865,07/21,female,KWBM,3,$1306.02,7,$4493.459999999999,14,$13030.750000000002
Andre Wheeler,male,578-91-7125,19/4/2010,8514634205,District of Columbia,09862,a.wheelerheeler@wopmo.com,Visa,4897xxxxxxxx9608,06/22,male,KEEC,3,$1964.37,4,$3383.1599999999994,5,$5313.37
Fred Snyder,male,483-29-9270,1/9/2011,(974) 430-7521,Nevada,22371-5438,f.snydernyder@raukfu.net,Diners Club United States & Canada,5445xxxxxxxx5175,09/19,male,KKLG,1,$355.29,4,$1617.39,13,$8251.240000000002
Mr. Max Webster,male,674-64-3076,6/13/2010,(354) 325-9535,K.Y.,21794-7137,m.Webster@zenje.org,Mastercard,5198xxxxxxxx8881,05/24,male,WTVM,4,$2652.74,8,$6954.34,16,$15718.660000000002
Miss Lora Holt,female,542-62-0060,Thu Oct 09 2008 16:47:51 GMT-0400 (Eastern Daylight Time),9698093089,MN,86274-8680,l.Holt@oro.nz,Discover Card,6011xxxxxxxx1923,05/24,female,WIWF,1,$40.03,3,$1236.82,12,$6039.97
Miss Sadie Bowman,female,946-87-2252,Wed Feb 28 2007 04:09:11 GMT-0500 (Eastern Standard Time),(581) 417-2058,CT,49692,s.bowmanowman@lu.gov,American Express,3438xxxxxxx7725,10/24,female,WOUA,3,$2127.17,8,$6801.3600000000015,16,$15945.040000000003
Leon Harvey,male,411-46-4974,4/4/2010,(445) 769-5578,Delaware,96081-6479,l.harveyarvey@sozbu.de,Discover Card,6011xxxxxxxx2017,10/27,male,WZVK,4,$2375.29,5,$4382.35,7,$8566.56
Ronald Stewart,male,859-73-5050,Mon Feb 01 2016 23:29:28 GMT-0500 (Eastern Standard Time),(755) 663-6446,M.A.,95871-8716,r.stewarttewart@vuvic.com,Visa,4479xxxxxxxx5281,07/21,male,WDHY,2,$1286.9,3,$1711.7700000000002,12,$8189.660000000002
Miss Delia McCoy,female,111-31-2405,24/4/2017,(300) 676-4046,Mississippi,80154-7217,d.McCoy@vopcakhi.com,Discover Card,6011xxxxxxxx6239,12/22,female,WXBF,3,$1279.73,7,$4723.7,9,$11556.850000000002
Eleanor Banks,female,384-06-1932,Thu Sep 24 2015 21:42:34 GMT-0400 (Eastern Daylight Time),7582574845,Ohio,69802-7390,e.banksanks@de.gov,Visa,4295xxxxxxxx4049,02/19,female,WWUH,4,$1567.59,9,$6193.37,12,$13806.29
Mrs. Lucile Sharp,female,214-71-4376,Fri Feb 15 2008 20:35:44 GMT-0500 (Eastern Standard Time),9427456259,NJ,30764,l.sharpharp@tepkuwlo.de,Diners Club United States & Canada,5441xxxxxxxx5070,07/20,female,WRKH,2,$854.12,3,$1842.95,5,$4036.71
Doctor Hunter Williams,male,833-60-4610,18/1/2014,(288) 963-5190,North Dakota,20277-8945,h.williamsilliams@det.org,Visa,4914xxxxxxxx4935,06/27,male,KIHH,4,$996.8,8,$7088.43,11,$13888.200000000003
Gerald Boyd,male,022-94-5203,Tue Oct 19 2010 20:04:50 GMT-0400 (Eastern Daylight Time),3385177362,I.D.,04651,g.boydoyd@cucnigje.net,Visa,4956xxxxxxxx4968,01/17,male,KMKU,0,$0,1,$244.76,3,$1266.49
Warren Lamb,male,483-48-1975,1/15/2016,3434988109,South Carolina,86065-2567,w.lambamb@lazzipiv.info,Mastercard,5197xxxxxxxx0202,09/25,male,WUSG,2,$752.62,7,$4509.46,17,$12876.98
Mister Anthony Gibson,male,141-19-3519,6/9/2017,2229711641,M.T.,83675,a.gibsonibson@irzanis.com,Mastercard,5131xxxxxxxx4455,09/24,male,KRQN,0,$0,3,$464.24,11,$6188.27
Fanny Keller,female,467-32-9238,2/4/2011,(332) 427-3854,Iowa,21417,f.kellereller@ug.ca,Discover Card,6011xxxxxxxx8784,02/21,female,KTLO,0,$0,2,$1238.09,12,$7266.509999999999
Kenneth Floyd,male,312-74-7802,Sun Jan 25 2015 22:25:13 GMT-0500 (Eastern Standard Time),9695658297,North Carolina,50049-2862,k.Floyd@ri.gov,Mastercard,5195xxxxxxxx7322,05/17,male,WOUF,5,$2221.42,6,$5379.280000000001,9,$10447.600000000002
Mr. Aaron Arnold,male,375-44-6616,18/5/2013,(671) 902-7551,North Carolina,35192-0567,a.arnoldrnold@mawefo.info,Visa,4765xxxxxxxx7799,02/22,male,WYNE,3,$1475.06,8,$5285.09,14,$13973.04
Alfred Ortega,male,362-63-3012,Tue Sep 18 2012 06:09:29 GMT-0400 (Eastern Daylight Time),6366743453,DE,49478-9297,a.Ortega@vacufwer.info,American Express,3401xxxxxxx0520,07/25,male,WMHD,4,$1936.74,7,$6441.34,15,$15618.860000000004
Eva Wright,female,184-09-9346,1/25/2006,2252206791,MO,41692-2432,e.wrightright@kadjagvuc.de,Diners Club United States & Canada,5411xxxxxxxx3894,08/25,female,KYQW,1,$877.88,3,$1424.6299999999999,8,$5708.990000000001
Doctor Roger Hill,male,536-18-1771,Mon Oct 24 2005 23:50:40 GMT-0400 (Eastern Daylight Time),7786184577,C.O.,80333-5121,r.hillill@viv.org,American Express,3486xxxxxxx1840,09/20,male,KZHH,4,$2364.04,5,$4530.719999999999,13,$11489.249999999996
Nettie Ellis,female,812-88-7185,4/1/2014,8519701531,IL,11491-2003,n.ellisllis@lo.de,American Express,3479xxxxxxx9805,05/17,female,WTOY,4,$1746.6,8,$6019.150000000001,12,$12320.609999999997
Mr. Glen McCoy,male,083-43-5800,30/1/2013,5068266091,District of Columbia,43845,g.mccoycCoy@pagetolot.com,Diners Club United States & Canada,5449xxxxxxxx7286,12/27,male,KEBW,2,$914.51,3,$2180.1800000000003,12,$9038.28
Cameron Morrison,male,464-84-7949,30/4/2007,(813) 843-9131,Connecticut,38391,c.morrisonorrison@ba.org,American Express,3450xxxxxxx3829,07/20,male,WVQA,4,$2442.04,7,$7081.929999999999,8,$11145.779999999999
Jerome Padilla,male,994-81-2178,7/1/2013,(358) 390-2148,Iowa,26139,j.padillaadilla@pantuh.com,Diners Club United States & Canada,5457xxxxxxxx1819,12/21,male,KBNU,3,$2187.21,4,$4129.73,10,$8548.91
Belle Knight,female,747-97-1584,Thu May 29 2008 12:31:57 GMT-0400 (Eastern Daylight Time),(654) 631-2429,Nebraska,95445-3549,b.knightnight@lenir.ca,Discover Card,6011xxxxxxxx2496,01/18,female,KPDZ,5,$2036.5900000000001,9,$6886.3,16,$13707.450000000003
Isabella Simon,female,949-96-0662,Wed Jan 30 2013 15:20:03 GMT-0500 (Eastern Standard Time),8482171183,D.C.,49281,i.simonimon@zedo.com,American Express,3466xxxxxxx5300,09/18,female,WNGG,5,$2099.59,8,$6558.8099999999995,15,$14111.66
Doctor Ernest Mendoza,male,433-59-4825,11/11/2013,(423) 331-9307,Wyoming,71469-7305,e.Mendoza@luz.edu,Discover Card,6011xxxxxxxx7608,06/25,male,KDVC,0,$0,2,$426.6,11,$4840.45
Miss Hannah Hodges,female,749-02-3522,Mon Aug 18 2008 22:57:21 GMT-0400 (Eastern Daylight Time),8456221762,Ohio,20584,h.hodgesodges@latrepdeb.com,Diners Club United States & Canada,5476xxxxxxxx8494,08/23,female,WDIM,0,$0,3,$1230.83,8,$4797.17
Luke Willis,male,610-27-7839,Fri Jan 26 2007 18:23:55 GMT-0500 (Eastern Standard Time),(814) 476-4049,North Carolina,25445-9719,l.willisillis@jihoofe.com,Mastercard,5130xxxxxxxx8241,01/22,male,WYTP,3,$2499.87,6,$4259.320000000001,8,$7189.1900000000005
Blake Moreno,male,868-33-7489,27/11/2005,2105829637,Montana,19619-6971,b.morenooreno@cuw.com,American Express,3451xxxxxxx0623,03/27,male,KIRO,3,$2387.0299999999997,4,$5017.5199999999995,13,$11480.869999999997
Curtis Holland,male,377-27-4844,Fri May 25 2012 20:39:13 GMT-0400 (Eastern Daylight Time),(979) 992-3637,I.L.,72083-7870,c.hollandolland@dukihece.com,Discover Card,6011xxxxxxxx2660,04/24,male,WJLJ,0,$0,1,$525.37,9,$5738.22
Misses Jean Riley,female,412-46-7330,11/21/2006,5392434580,New York,48402,j.rileyiley@ene.au,American Express,3481xxxxxxx0295,08/27,female,WRSS,3,$2138.5,4,$3122.71,5,$6460.23
Nettie Parks,female,565-71-0510,5/4/2011,(367) 887-7224,I.L.,65142,n.parksarks@cuutgat.de,American Express,3436xxxxxxx6542,12/27,female,WSTE,3,$2008.9,8,$5716.200000000001,18,$15429.830000000002
Olga Rhodes,female,161-89-6624,30/6/2012,9857194438,OK,86527-5466,o.Rhodes@nat.com,Discover Card,6011xxxxxxxx1594,01/17,female,KVPC,3,$1126.88,6,$2849.2799999999997,7,$6284.209999999999
Misses Rhoda Dunn,female,647-72-8733,3/5/2011,8283481069,D.E.,58034,r.dunnunn@ato.de,Visa,4656xxxxxxxx9225,03/21,female,WZCW,4,$1699.7,6,$3887.46,14,$11584.39
Doctor Dominic Anderson,male,479-28-9984,Thu Jan 03 2013 18:38:05 GMT-0500 (Eastern Standard Time),9707359466,California,62680-8301,d.andersonnderson@re.org,American Express,3468xxxxxxx6692,03/21,male,KIDR,5,$3009.28,6,$5677.219999999999,12,$11536.089999999997
Bertie Morales,female,018-58-8601,Sat Dec 04 2010 08:23:39 GMT-0500 (Eastern Standard Time),5464874172,WI,22156-1873,b.moralesorales@barub.edu,Diners Club United States & Canada,5454xxxxxxxx5597,03/27,female,WVYU,4,$2786.04,6,$4739.720000000001,13,$10296.130000000001
Mister Jimmy Chandler,male,112-37-5234,Wed Jun 15 2011 14:21:29 GMT-0400 (Eastern Daylight Time),(319) 971-8132,Vermont,22231-8144,j.chandlerhandler@kedpinib.de,Diners Club United States & Canada,5444xxxxxxxx0330,02/22,male,WQVT,5,$3130.2200000000003,7,$7021.330000000001,13,$13559.619999999999
Doctor Mittie Lowe,female,538-80-6848,6/7/2016,(615) 501-8568,Florida,00906-7009,m.Lowe@picup.nz,Mastercard,5135xxxxxxxx1955,09/21,female,WHVP,2,$1524.01,3,$3400.26,6,$6858.470000000001
Doctor Elnora Norris,female,065-42-4461,Wed Jan 06 2010 21:48:24 GMT-0500 (Eastern Standard Time),4058563276,District of Columbia,33259-7532,e.norrisorris@roj.edu,Diners Club United States & Canada,5487xxxxxxxx6907,03/26,female,KSXW,1,$516.4,3,$2169.33,13,$10363.089999999998
Misses Evelyn Hamilton,female,682-56-7773,Wed Dec 07 2016 18:54:24 GMT-0500 (Eastern Standard Time),9416132115,Wyoming,70332-1715,e.hamiltonamilton@ibjofep.co,Discover Card,6011xxxxxxxx2968,03/17,female,KAII,0,$0,1,$860.79,4,$2159.1099999999997
Phoebe Ramsey,female,436-20-4466,7/4/2016,5369561519,N.J.,28399-5471,p.ramseyamsey@im.com,Mastercard,5149xxxxxxxx6418,02/27,female,WSIQ,5,$2259.91,10,$8302.86,13,$14425.82
Mister Rodney Rios,male,206-50-1400,10/28/2013,7215448784,Connecticut,42906,r.riosios@bema.org,Diners Club United States & Canada,5427xxxxxxxx3949,12/23,male,WNHI,4,$1957.2599999999998,9,$7695.85,18,$16604.28
Verna Pittman,female,209-71-7844,21/4/2006,(854) 789-8519,Minnesota,33349,v.Pittman@toza.com,Mastercard,5137xxxxxxxx5271,11/23,female,WTJW,5,$3239.66,6,$6031.639999999999,10,$11579.949999999999
Max Wood,male,181-61-1170,Mon Jul 13 2009 05:54:36 GMT-0400 (Eastern Daylight Time),(313) 765-4646,West Virginia,81731,m.woodood@ponag.nz,American Express,3438xxxxxxx5420,06/25,male,WPTA,5,$3043.97,8,$7527.809999999999,14,$14784.909999999998
Augusta Foster,female,526-97-3078,Sun Jan 06 2008 04:10:19 GMT-0500 (Eastern Standard Time),8415808387,IL,41748,a.fosteroster@rowoso.edu,Visa,4043xxxxxxxx2737,02/26,female,WHJJ,2,$939.1,3,$2502.89,8,$7365.9299999999985
Ralph Rose,male,311-38-7489,Thu Mar 12 2015 20:59:13 GMT-0400 (Eastern Daylight Time),(740) 897-9578,Missouri,87319,r.roseose@pekzak.com,American Express,3438xxxxxxx5754,12/19,male,KRFO,2,$440.17999999999995,5,$2758.7999999999997,7,$7228.24
Don Rogers,male,130-40-4872,Fri Jan 24 2014 11:31:15 GMT-0500 (Eastern Standard Time),2259677442,Oklahoma,59603,d.rogersogers@ti.edu,American Express,3463xxxxxxx3448,07/19,male,KFIJ,4,$2473.2200000000003,9,$5923.63,15,$15378.260000000002
Florence Patrick,female,787-43-7008,Sat Dec 16 2006 03:14:55 GMT-0500 (Eastern Standard Time),(648) 400-8805,RI,87843-3896,f.patrickatrick@pi.co,Diners Club United States & Canada,5475xxxxxxxx1418,12/20,female,WYMU,1,$99.05,2,$1028.46,12,$7362.0199999999995
Dr. Lois Dean,female,624-42-1038,6/4/2008,2126796049,New Mexico,01667-5001,l.deanean@zenigto.net,Mastercard,5147xxxxxxxx8118,09/23,female,KFKA,3,$2014.52,7,$6614.61,13,$13836.009999999998
Doctor Maude Lewis,female,620-06-6802,Thu Oct 01 2015 02:06:43 GMT-0400 (Eastern Daylight Time),4408122588,South Dakota,84778,m.lewisewis@ma.info,Visa,4323xxxxxxxx8570,04/21,female,KMJH,4,$3072.3199999999997,8,$8110.720000000001,17,$17443.69
Melvin Gomez,male,395-76-4760,3/7/2015,(688) 392-8779,G.A.,90796-1203,m.gomezomez@kukku.edu,Diners Club United States & Canada,5474xxxxxxxx6380,11/25,male,WRLB,2,$1541.69,5,$3461.7599999999998,13,$10439.48
Mrs. Ellen Logan,female,187-30-5388,Tue Jul 31 2012 10:55:57 GMT-0400 (Eastern Daylight Time),(600) 630-5347,T.X.,97622-2240,e.Logan@lemdajub.net,American Express,3461xxxxxxx5457,08/25,female,KNFI,4,$2480.25,9,$6126.75,16,$13900.81
Tyler Bryan,male,599-89-6654,25/11/2012,(248) 438-8431,VT,27116,t.Bryan@sij.edu,American Express,3421xxxxxxx1244,11/27,male,WVMF,2,$1054.72,3,$2583.2400000000002,11,$7953.16
Mildred Schwartz,female,796-20-0824,Sun Sep 19 2004 16:20:28 GMT-0400 (Eastern Daylight Time),(723) 380-8425,Iowa,18662,m.Schwartz@surtirtaz.ca,Visa,4981xxxxxxxx2201,02/18,female,KBRX,5,$3308.15,8,$7473.17,17,$15462.85
